col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik,     John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann,     Kenneth Kaufman, Stefan Keller, Igor Kononenko
Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik,     John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann,     Kenneth Kaufman, Stefan Keller, Igor Kononenko
Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik,     John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann,     Kenneth Kaufman, Stefan Keller, Igor Kononenko
Utgoff," P.	Shift of bias for inductive concept learning.	?","	pages 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning II","	In Michalski", R., Carbonell, J., and Mitchell, T., editors
Utgoff," P.	Shift of bias for inductive concept learning.	?","	pages 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning II","	In Michalski", R., Carbonell, J., and Mitchell, T., editors
Utgoff," P.	Shift of bias for inductive concept learning.	?","	pages 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning II","	In Michalski", R., Carbonell, J., and Mitchell, T., editors
Utgoff," P.	Shift of bias for inductive concept learning.	?","	pages 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning II","	In Michalski", R., Carbonell, J., and Mitchell, T., editors
Fahlman," S.	Faster-learning variations on backpropagation: An empirical study.	?","	?","	(1988).	?","	Morgan Kaufmann","	San Mateo"," CA.	?","	Proc. of the Connectionist Model Summer School.	In Touretzky", D. , Hinton, G. , and Sejnowski, T. , (eds.)
Fahlman," S. E.	Faster-learning variations on back-propagation: an empirical study.	?","	pp. 38-51.	(1989).	?","	Morgan Kaufmann","	San Mateo"," California.	?","	Proceedings of the 1988 Connectionist Models Summer School","	In Touretzky", D. S., Hinton, G., & Sejnowski, T. (Eds.),"	?"
Utgoff," P.	Shift of bias for inductive concept learning.	Vol. II","	pp. 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R. S., Carbonell, J. G., & Mitchell, T. M. (Eds.),"	?"
Utgoff," P.	Shift of bias for inductive concept learning.	Vol. II","	pp. 107-148.	?","	?","	Morgan Kaufman.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R. S., Carbonell, J. G., & Mitchell, T. M. (Eds.),"	?"
S udholt, M. and Steigner," C.	On interprocedural data flow analysis for object oriented languages.	?","	pp. 156-162.	1992.	?","	Springer-Verlag","	Berlin", Germany,"	volume 641 of Lecture Notes in Computer Science", (Paderborn, Germany," Oct.).	Proceedings of the Fourth International Conference on Compiler Construction","     	In Kastens", U. and Pfahler, P.
K.G. Langendoen and P.H. Hartel," FCG:	a code generator for lazy functional languages", in Compiler construction (CC),"	?","	pp 278-296","	1992.	?","	?","	Paderborn", Germany,"	?","	Proceedings of the International Workshop on Compiler Construction","	Springer Verlag LNCS 641", U. Kastens and P. Pfahler (eds),"	?"
"P.E. Utgoff.	Constructive Function Approximation","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	Department of CS", Univ. of Mass.,"	?"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	       Amherst", MA,"     	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	       Amherst", MA,"     	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
"Carla E. Brodley and Paul E. Utgoff.	Multivariate versus univariate decision trees.	?","	?","	?","	?","	?","	Amherst", MA,"	?","	?","	?","	?","	Dept. of Computer Science", University of Massachusetts,"	January	1992.	Technical Report COINS-CR-92-8"
Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J.     Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W.     Wenzel
Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J.     Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W.     Wenzel
S.E. Fahlman,"	An empirical study of learning speed in backpropagation networks","	?","	?","	?","	?","	?","	?","	?","	?","	?","	Technical Report CMU-CS-88-162","	     	?","	?"
Stone," C.J.	: Consistent nonparametric regression.	5 ","	595-645.	?","	The Annals of Statistics","	?","	?","	?","	?","	?","	?","	?","	?","	(1977)	?",?
Utgoff, P. E., & Mitchell," T. M.	Acquisition of appropriate bias for inductive concept learning.	?","	414-417.	?","	?","	Morgan-Kaufmann.	Los Altos"," CA:	?","	In Proceedings of AAAI-82.	?","	?","	?","	?","	(1982).	?",?
Utgoff, P. E., & Mitchell," T. M.	Acquisition of appropriate bias for inductive concept learning.	?","	(pp. 414-417).	?","	?","	Morgan Kaufmann.	Pittsburgh"," PA:	?","	Proceedings of the Second National Conference on Artificial Intelligence	?","	?","	?","	?","	(1982).	?",?
Kibler, D., & Porter," B.	Episodic learning.	?","	191-196.	?","	?","	Morgan-Kaufmann.	Los Altos"," CA:	?","	In Proceedings of AAAI-83.	?","	?","	?","	?","	(1983).	?",?
Utgoff," P.	""-""Shift of Bias For Inductive Concept Learning- ?","	Vol. II.	pp.107-148.	?","	?","	Morgan Kaufmann)","	Los Altos"," CA:	?","	Machine Learning: An AI Approach","	Eds) in Michalski R."," Carbonell J. & Mitchell T.(	?","	?","	?","	(1985).	?",?
Utgoff," P.	?","	Vol.15","	?","	?","	?","	Kluwer Academic.	?","	Kluwer International Series in Engineering and Computer Science","	Machine Learning of Inductive Bias.	?","	?","	?","	?","	(1986).	?",?
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2.	?","	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	In Machine Learning","	?","	?","	?","	?","	(1986).	?",?
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2.	?","	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	In Machine Learning","	?","	?","	?","	?","	(1986).	?",?
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2.	?","	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	In Machine Learning","	?","	?","	?","	?","	(1986).	?",?
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2.	?","	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	In Machine Learning","	?","	?","	?","	?","	(1986).	?",?
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2.	?","	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	In Machine Learning","	?","	?","	?","	?","	(1986).	?",?
Utgoff," P. E.	Shift of bias for inductive concept learning.	?","	?","	?","	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	Machine learning: An artificial intelligence approach.	In Michalski", Carbonell & Mitchell (Eds.),"	?","	?","	?","	(1986).	?",?
Utgoff," P. E.	Shift of bias for inductive concept learning.	?","	?","	?","	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	Machine learning: An artificial intelligence approach.	In Michalski", Carbonell & Mitchell (Eds.),"	?","	?","	?","	(1986).	?",?
Kibler, D., & Aha," D. W.	Learning representative exemplars of concepts: An initial case study.	?","	(pp.24-30.	?","	?","	Morgan Kaufmann.	Irvine"," CA:	?","	In Proceedings of the Fourth International Workshop on Machine Learning	?","	?","	?","	?","	(1987).	?",?
Kibler, D., & Aha," D. W.	Learning representative exemplars of concepts: An initial case study.	?","	pp. 24-30.	?","	?","	Morgan Kaufmann.	Irvine"," CA:	?","	In Proceedings of the Fourth International Workshop on Machine Learning	?","	?","	?","	?","	(1987).	?",?
Kibler, D., & Aha," D. W.	Learning representative exemplars of concepts: An initial case study.	?","	(pp. 24-30).	?","	?","	Morgan Kaufmann.	Irvine"," CA:	?","	In Proceedings of the Fourth International Workshop on Machine Learning	?","	?","	?","	?","	(1987).	?",?
Kibler, D., & Aha," D. W.	Learning representative exemplars of concepts: An initial case study.	?","	pp. 24-30	?","	?","	Morgan Kaufmann.	Irvine"," CA:	?","	In Proceedings of the Fourth International Workshop on Machine Learning	?","	?","	?","	?","	(1987).	?",?
Chapman," D.	Planning for conjunctive goals.	32","	333-377.	?","	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	(1987).	?",?
Chapman," D.	Planning for conjunctive goals.	32","	333-377.	?","	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	(1987).	?",?
Connell, M. E., & Utgoff," P. E.	Learning to control a dynamic physical system.	?","	(pp. 456-460).	?","	?","	Morgan Kaufmann.	Seattle"," WA:	?","	In Proceedings of the Sixth National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1987).	?",?
Connell, M. E., & Utgoff," P. E.	Learning to control a dynamic physical system.	?","	(pp. 456-460).	?","	?","	Morgan Kaufmann.	Seattle"," WA:	?","	In Proceedings of the Sixth National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1987).	?",?
Connell, M. E., & Utgoff," P. E.	Learning to control a dynamic physical system.	?","	(pp. 456-460).	?","	?","	Morgan Kaufmann.	Seattle"," WA:	?","	In Proceedings of the Sixth National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1987).	?",?
Connell, M. E., & Utgoff," P. E.	Learning to control a dynamic physical system.	?","	(pp. 456-460).	?","	?","	Morgan Kaufmann.	Seattle"," WA:	?","	In Proceedings of the Sixth National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1987).	?",?
Utgoff, P. E., & Saxena," S.	Learning a preference predicate.	?","	(pp. 115-121).	?","	?","	Morgan Kauf-mann.	Irvine"," CA:	?","	Proceedings of the Fourth International Workshop on Machine Learning	?","	?","	?","	?","	(1987).	?",?
Kibler, D. & Langley," P.	Machine Learning as an Experimental Science.	?","	?","	?","	?","	Pitman.	Glasgow"," Scotland:	?","	Proceedings of the Third European Working Session on Learning.	?","	?","	?","	?","	(1988).	?",?
Kibler, D. & Langley," P.	Machine Learning as an Experimental Science.	?","	?","	?","	?","	Pitman.	London"," UK:	?","	Proceedings of the Third European Session on Machine Learning.	?","	?","	?","	?","	(1988).	?",?
Kibler," D. & Langley P.	Machine Learning as an Experimental Science.	?","	?","	?","	Machine Learning 3 (1).	?","	?","	?","	?","	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine Learning as an Experimental Science.	?","	(pp. 81-91	?","	?","	Pitman.	Glasgo"," Scotland:	?","	Proceedings of The Third European Session on L e a r n i n g	In D. Sleeman (Ed.)","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	Pitman.	Glasgow"," Scotland:	?","	In Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glas-gow: Pittman.	Reprinted in J. W. Shavlik & T. G. Di-etterich (Eds.)"," Readings in Machine Learning.       Mor-gan Kaufmann.     	Proceedings of the Third Euro-pean Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Langley," P.	Machine learning as an experimental science.	?","	(pp. 81-92).	?","	?","	?","	Glasgow: Pittman.	?","	Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Aha," D. W.	Comparing instance-averaging with instance-filtering learning algorithms.	?","	(pp. 63-80).	?","	?","	Pitman.	Glasgow"," Scotland:	?","	In Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Kibler, D., & Aha," D. W.	Comparing instance-averaging with instance-filtering learning algorithms.	?","	(pp. 63-80).	?","	?","	Pitman.	Glasgow"," Scotland:	?","	In Proceedings of the Third European Working Session on Learning	?","	?","	?","	?","	(1988).	?",?
Utgoff," P. E.	An incremental ID3.	?","	?","	?","	?","	?","	?","	?","	In Proceedings of the Fifth National Conference on Machine Learning.	?","	?","	?","	?","	(1988).	?",?
Utgoff," P. E.	Perceptron trees: A case study in hybrid concept representations.	?","	pages 601-606.	?","	?","	?","	?","	?","	Proceedings of the Seventh National Conference on Artificial Intelligence","     	?","	?","	?","	?","	(1988).	?",?
"Utgoff P.E.	""-""ID5: An Incremental ID3- ?","	?","	?","	?","	?","	Morgan Kaufmann Inc.	Ann Harbour","	?","	in Proc. of 5th International Workshop on Machine Learning "," J.	Laird (ed.)","	?","	?","	?","	(1988):	?",?
"Utgoff P.E.	""-""ID5: An Incremental ID3- ?","	?","	?","	?","	?","	Morgan Kaufmann Inc.	Ann Harbour","	?","	in Proc. of 5th International Workshop on Machine Learning "," J.	Laird (ed.)","	?","	?","	?","	(1988):	?",?
Aha, D. & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	pp.794-799).	?","	?","	?","	?","	?","	Proc. IJCAI-89	?","	?","	?","	?","	(1989).	?",?
Aha, D. & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	pp.794-799.	?","	?","	?","	?","	?","	Proc. IJCAI-89	?","	?","	?","	?","	(1989).	?",?
Aha, D. & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	pp.794-799).	?","	?","	?","	?","	?","	Proc. IJCAI-89	?","	?","	?","	?","	(1989).	?",?
Aha," D. W. & Kibler D.	Noise-Tolerant Instance-Based Learning Algorithms.	?","	pp. 794-799.	?","	?","	Morgan Kaufmann.	Los Altos", CA,"	?","	In Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence (IJCAI-89)","     	?","	?","	?","	?","	(1989).	?",?
Aha, D. & Kibler," D.	Noise-tolerant instance based leanring algorithms.	?","	pp. 794 799).	?","	?","	?","	?","	?","	Proc. IJCAI-89	?","	?","	?","	?","	(1989).	?",?
Aha, D. & Kibler," D.	Noise-tolerant instance-based leanring algorithms.	?","	pp.794-799).	?","	?","	?","	?","	?","	Proc. IJCAI-89	?","	?","	?","	?","	(1989).	?",?
Aha, D. W., & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	(pp. 794-799).	?","	?","	Morgan Kaufmann.	Detroit"," MI:	?","	In Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence     	?","	?","	?","	?","	(1989).	?",?
Aha, D. W., & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	(pp. 794-799).	?","	?","	Morgan Kaufmann.	Detroit"," MI:	?","	In Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence     	?","	?","	?","	?","	(1989).	?",?
Aha, D. W., & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	(pp. 794-799).	?","	?","	Morgan Kaufmann.	Detroit"," MI:	?","	In Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence     	?","	?","	?","	?","	(1989).	?",?
Aha, D. W., & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	(pp. 794-799).	?","	?","	Morgan Kaufmann.	Detroit"," Michigan:	?","	Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence     	?","	?","	?","	?","	(1989).	?",?
Aha, D. W., & Kibler," D.	Noise-tolerant instance-based learning algorithms.	?","	(pp. 794-799).	?","	?","	Morgan Kaufmann.	Detroit"," Michigan:	?","	Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence     	?","	?","	?","	?","	(1989).	?",?
Aha, D., & Kibler," D.	Noise-tolerant Instance-based Learning Algorithms.	?","	Pages 794-799	?","	?","	Morgan Kaufmann.	Detroit"," MI:	?","	Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence.     	?","	?","	?","	?","	(1989).	?",?
Utgoff," P. E.	Incremental induction of decision trees.	4","	161-186.	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	(1989).	?",?
