sex,length,diameter,height,wholeWeight
M,0.59,0.435,0.165,0.9765
I,0.59,0.47,0.145,0.974
M,0.59,0.405,0.15,0.853
M,0.595,0.47,0.175,0.991
M,0.595,0.48,0.14,0.9125
F,0.595,0.46,0.16,0.921
F,0.6,0.45,0.14,0.869
M,0.6,0.45,0.15,0.8665
F,0.61,0.495,0.16,1.089
M,0.615,0.485,0.215,0.9615
M,0.615,0.49,0.17,1.145
I,0.62,0.475,0.16,0.907
F,0.625,0.515,0.155,11.635
M,0.63,0.515,0.175,11.955
M,0.63,0.495,0.18,1.31
F,0.635,0.505,0.165,1.251
F,0.635,0.49,0.155,1.145
M,0.635,0.5,0.18,1.154
F,0.64,0.485,0.145,11.335
F,0.64,0.5,0.15,12.015
M,0.65,0.505,0.17,15.595
M,0.65,0.51,0.175,13.165
M,0.655,0.54,0.165,1.403
F,0.655,0.49,0.16,1.204
F,0.655,0.455,0.17,12.895
F,0.66,0.53,0.18,15.175
M,0.665,0.525,0.155,13.575
M,0.675,0.52,0.145,13.645
F,0.68,0.52,0.185,1.494
F,0.68,0.56,0.195,1.664
M,0.685,0.51,0.165,1.545
F,0.695,0.535,0.2,15.855
F,0.7,0.555,0.22,1.666
M,0.71,0.56,0.175,1.724
F,0.73,0.55,0.205,1.908
F,0.755,0.575,0.2,2.073
I,0.225,0.17,0.05,0.0515
I,0.23,0.17,0.05,0.057
I,0.255,0.185,0.06,0.0925
I,0.355,0.27,0.075,0.204
I,0.425,0.31,0.095,0.3075
I,0.425,0.32,0.085,0.262
M,0.455,0.35,0.11,0.458
M,0.46,0.355,0.14,0.491
M,0.495,0.38,0.12,0.474
M,0.51,0.395,0.125,0.5805
F,0.52,0.43,0.15,0.728
M,0.525,0.4,0.13,0.622
M,0.53,0.415,0.12,0.706
F,0.53,0.395,0.115,0.5685
M,0.545,0.435,0.145,0.9385
F,0.55,0.43,0.15,0.655
M,0.575,0.48,0.15,0.9465
M,0.58,0.43,0.125,0.9115
M,0.595,0.455,0.145,0.942
M,0.6,0.465,0.18,1.193
M,0.645,0.5,0.18,1.461
M,0.66,0.525,0.2,1.489
I,0.29,0.215,0.06,0.1115
I,0.3,0.22,0.065,0.1235
I,0.37,0.275,0.1,0.2815
I,0.375,0.285,0.08,0.226
I,0.38,0.29,0.085,0.2285
I,0.395,0.3,0.12,0.2995
I,0.41,0.325,0.105,0.361
I,0.415,0.32,0.115,0.3045
I,0.425,0.325,0.105,0.3975
I,0.44,0.34,0.1,0.379
I,0.44,0.34,0.12,0.4995
M,0.465,0.405,0.135,0.7775
F,0.47,0.36,0.1,0.4705
M,0.51,0.415,0.145,0.751
F,0.525,0.4,0.135,0.714
F,0.525,0.4,0.13,0.6995
F,0.55,0.425,0.14,0.952
M,0.56,0.42,0.15,0.8755
M,0.575,0.45,0.135,0.9215
F,0.575,0.45,0.135,0.8285
M,0.585,0.46,0.15,1.206
M,0.615,0.495,0.155,12.865
F,0.62,0.485,0.155,11.945
F,0.63,0.495,0.19,11.655
F,0.63,0.49,0.17,12.155
M,0.67,0.515,0.165,11.735
M,0.675,0.505,0.16,1.532
F,0.685,0.53,0.17,15.105
F,0.485,0.39,0.1,0.5565
M,0.46,0.36,0.125,0.547
M,0.46,0.35,0.125,0.5165
M,0.535,0.42,0.125,0.764
M,0.465,0.36,0.105,0.488
M,0.51,0.4,0.14,0.6905
I,0.335,0.26,0.09,0.1835
M,0.55,0.425,0.16,0.97
I,0.18,0.135,0.08,0.033
I,0.215,0.165,0.055,0.059
I,0.2,0.15,0.04,0.046
F,0.625,0.48,0.2,13.235
M,0.55,0.42,0.17,0.8465
M,0.585,0.45,0.15,1.047
F,0.645,0.5,0.18,12.785
F,0.71,0.53,0.195,18.745
F,0.7,0.54,0.215,1.978
F,0.655,0.505,0.165,1.367
F,0.665,0.5,0.175,1.742
F,0.47,0.375,0.105,0.513
M,0.425,0.335,0.1,0.4085
M,0.54,0.41,0.13,0.56
M,0.505,0.395,0.125,0.635
M,0.535,0.44,0.165,0.875
F,0.43,0.35,0.09,0.397
M,0.55,0.435,0.11,0.806
F,0.34,0.255,0.085,0.204
I,0.275,0.2,0.065,0.1165
F,0.335,0.22,0.07,0.17
M,0.64,0.49,0.14,1.194
F,0.55,0.44,0.125,0.765
F,0.64,0.475,0.19,1.151
F,0.545,0.41,0.115,0.6765
F,0.64,0.54,0.175,1.571
M,0.605,0.49,0.155,1.153
M,0.605,0.47,0.115,1.114
M,0.56,0.45,0.155,0.9125
F,0.57,0.465,0.155,0.872
M,0.525,0.405,0.16,0.792
F,0.505,0.405,0.18,0.606
M,0.35,0.265,0.09,0.2265
M,0.45,0.355,0.12,0.3955
I,0.51,0.405,0.12,0.61
F,0.49,0.38,0.13,0.539
F,0.505,0.41,0.135,0.657
M,0.38,0.3,0.1,0.2505
I,0.27,0.195,0.07,0.102
F,0.37,0.295,0.1,0.2685
M,0.5,0.385,0.135,0.551
M,0.645,0.505,0.165,1.307
M,0.565,0.44,0.115,0.9185
F,0.67,0.545,0.175,1.707
F,0.59,0.415,0.15,0.8805
F,0.47,0.36,0.11,0.4965
F,0.51,0.385,0.135,0.632
M,0.72,0.575,0.23,22.695
M,0.55,0.405,0.15,0.9235
I,0.2,0.145,0.025,0.0345
M,0.65,0.515,0.18,13.315
F,0.525,0.405,0.115,0.72
M,0.565,0.435,0.185,1.032
F,0.61,0.47,0.16,1.017
F,0.545,0.405,0.175,0.98
I,0.325,0.245,0.075,0.1495
I,0.31,0.235,0.075,0.1515
M,0.45,0.335,0.14,0.478
F,0.49,0.38,0.155,0.578
F,0.505,0.405,0.16,0.6835
F,0.385,0.3,0.1,0.2725
F,0.62,0.485,0.22,1.511
F,0.635,0.505,0.185,13.035
F,0.665,0.53,0.185,13.955
M,0.335,0.265,0.095,0.1975
I,0.295,0.215,0.075,0.116
I,0.48,0.38,0.125,0.523
I,0.32,0.25,0.08,0.1565
I,0.43,0.34,0.125,0.384
M,0.565,0.45,0.14,10.055
F,0.6,0.48,0.165,11.345
F,0.585,0.46,0.17,10.835
F,0.555,0.42,0.14,0.868
F,0.57,0.495,0.16,10.915
F,0.62,0.485,0.175,1.271
M,0.63,0.51,0.19,14.985
M,0.425,0.34,0.12,0.388
F,0.64,0.505,0.19,12.355
M,0.675,0.525,0.175,1.402
M,0.5,0.4,0.145,0.6025
M,0.385,0.305,0.09,0.2775
M,0.52,0.435,0.195,0.973
M,0.52,0.415,0.175,0.753
M,0.64,0.525,0.2,13.765
I,0.44,0.35,0.12,0.375
F,0.42,0.32,0.13,0.4135
F,0.45,0.35,0.135,0.56
I,0.42,0.325,0.125,0.3915
F,0.64,0.505,0.19,12.765
M,0.57,0.455,0.15,0.96
M,0.41,0.325,0.12,0.3745
M,0.485,0.41,0.15,0.696
F,0.61,0.48,0.19,12.955
F,0.59,0.485,0.205,12.315
M,0.665,0.535,0.155,1.383
I,0.345,0.285,0.1,0.2225
M,0.635,0.51,0.155,1.156
M,0.695,0.53,0.15,1.477
F,0.69,0.54,0.185,15.715
M,0.555,0.435,0.135,0.858
M,0.65,0.525,0.19,14.995
M,0.635,0.48,0.19,1.467
F,0.655,0.51,0.16,1.092
F,0.69,0.555,0.205,18.165
F,0.695,0.55,0.16,16.365
M,0.55,0.435,0.16,0.906
F,0.61,0.495,0.19,1.213
M,0.595,0.5,0.165,1.06
M,0.3,0.24,0.09,0.161
F,0.435,0.35,0.125,0.459
I,0.455,0.375,0.125,0.533
M,0.48,0.38,0.13,0.6175
I,0.43,0.35,0.105,0.366
F,0.435,0.35,0.105,0.4195
I,0.3,0.23,0.075,0.15
F,0.575,0.48,0.15,0.8745
M,0.505,0.385,0.11,0.655
M,0.455,0.375,0.125,0.484
M,0.64,0.505,0.165,14.435
F,0.56,0.435,0.125,0.8775
F,0.645,0.52,0.19,13.105
F,0.595,0.485,0.145,12.515
M,0.565,0.45,0.115,0.9085
F,0.655,0.5,0.14,11.705
M,0.48,0.38,0.135,0.528
F,0.495,0.385,0.135,0.6625
F,0.4,0.335,0.115,0.4335
M,0.41,0.31,0.125,0.3595
F,0.595,0.465,0.145,1.107
F,0.625,0.475,0.13,0.8595
M,0.52,0.425,0.155,0.7735
M,0.465,0.36,0.125,0.4365
F,0.475,0.375,0.14,0.501
F,0.5,0.405,0.14,0.6735
M,0.46,0.355,0.11,0.415
M,0.485,0.385,0.125,0.4775
F,0.465,0.39,0.14,0.5555
M,0.525,0.415,0.16,0.6445
F,0.655,0.53,0.19,1.428
M,0.69,0.54,0.185,16.195
M,0.55,0.45,0.17,0.81
F,0.58,0.475,0.165,10.385
F,0.59,0.475,0.155,0.9715
M,0.565,0.44,0.155,0.868
F,0.665,0.57,0.185,1.522
F,0.62,0.51,0.175,11.255
M,0.55,0.46,0.13,0.7085
F,0.605,0.475,0.145,10.185
M,0.535,0.42,0.16,0.72
F,0.51,0.395,0.12,0.6175
M,0.53,0.405,0.13,0.738
F,0.495,0.375,0.15,0.597
M,0.575,0.455,0.185,1.156
F,0.63,0.5,0.16,1.22
M,0.59,0.45,0.12,0.7485
F,0.605,0.485,0.165,10.735
M,0.645,0.5,0.19,1.229
F,0.62,0.5,0.175,1.146
M,0.605,0.485,0.175,1.145
F,0.615,0.5,0.205,11.055
F,0.66,0.525,0.19,1.67
F,0.71,0.575,0.175,1.555
F,0.565,0.45,0.185,0.9285
F,0.57,0.435,0.14,0.8085
I,0.6,0.445,0.175,1.057
I,0.41,0.3,0.115,0.2595
F,0.45,0.325,0.135,0.438
M,0.275,0.2,0.08,0.099
I,0.485,0.355,0.12,0.5085
F,0.62,0.485,0.165,1.166
F,0.48,0.38,0.135,0.507
F,0.505,0.41,0.15,0.6345
M,0.4,0.31,0.11,0.314
I,0.45,0.355,0.115,0.4385
M,0.35,0.26,0.09,0.195
M,0.44,0.35,0.14,0.451
M,0.265,0.2,0.065,0.084
M,0.165,0.125,0.04,0.0245
F,0.705,0.555,0.2,14.685
F,0.535,0.425,0.155,0.7765
I,0.49,0.385,0.14,0.5425
F,0.48,0.37,0.13,0.5885
F,0.395,0.3,0.105,0.3375
I,0.375,0.28,0.1,0.2565
M,0.345,0.265,0.09,0.163
I,0.55,0.415,0.135,0.8095
I,0.635,0.48,0.2,13.655
I,0.575,0.475,0.17,0.967
F,0.545,0.435,0.15,0.6855
F,0.385,0.305,0.125,0.314
F,0.51,0.34,0.18,0.7005
I,0.44,0.34,0.125,0.4895
I,0.45,0.36,0.125,0.45
I,0.39,0.3,0.105,0.259
F,0.425,0.325,0.135,0.382
F,0.45,0.35,0.125,0.4435
I,0.66,0.525,0.18,16.935
F,0.685,0.525,0.175,1.71
F,0.585,0.475,0.185,0.8575
I,0.54,0.435,0.145,0.97
F,0.49,0.39,0.135,0.59
M,0.43,0.33,0.095,0.34
F,0.455,0.365,0.11,0.385
I,0.495,0.38,0.145,0.515
F,0.48,0.38,0.145,0.59
I,0.47,0.4,0.16,0.51
M,0.415,0.32,0.1,0.3005
I,0.49,0.385,0.115,0.683
I,0.47,0.375,0.105,0.468
I,0.445,0.345,0.13,0.4075
F,0.51,0.38,0.13,0.584
F,0.52,0.405,0.145,0.829
I,0.475,0.365,0.14,0.4545
F,0.455,0.36,0.11,0.4385
I,0.435,0.34,0.11,0.407
I,0.39,0.3,0.1,0.3085
I,0.375,0.285,0.1,0.239
M,0.285,0.215,0.075,0.106
I,0.58,0.445,0.17,1.178
F,0.58,0.44,0.175,1.073
M,0.41,0.315,0.095,0.306
M,0.41,0.3,0.1,0.301
I,0.54,0.405,0.15,0.7585
M,0.33,0.245,0.085,0.171
I,0.44,0.31,0.115,0.3625
M,0.28,0.21,0.065,0.0905
I,0.59,0.465,0.195,10.885
I,0.61,0.48,0.165,1.097
I,0.61,0.46,0.17,1.278
M,0.455,0.345,0.125,0.44
M,0.33,0.235,0.09,0.163
I,0.44,0.33,0.135,0.522
M,0.54,0.405,0.155,0.9715
F,0.475,0.375,0.125,0.588
F,0.46,0.33,0.15,0.5325
I,0.31,0.235,0.09,0.127
I,0.255,0.19,0.07,0.0815
M,0.335,0.255,0.075,0.1635
I,0.295,0.21,0.08,0.1
I,0.19,0.13,0.045,0.0265
M,0.545,0.435,0.165,0.9955
M,0.495,0.4,0.12,0.6605
M,0.5,0.375,0.13,0.721
F,0.305,0.225,0.07,0.1485
F,0.475,0.35,0.115,0.487
M,0.515,0.4,0.125,0.955
M,0.545,0.41,0.145,0.873
M,0.74,0.535,0.185,1.65
M,0.565,0.465,0.15,11.285
M,0.56,0.44,0.16,11.115
M,0.545,0.42,0.125,0.9745
M,0.645,0.515,0.185,14.605
M,0.575,0.435,0.13,10.105
M,0.62,0.48,0.16,10.765
F,0.605,0.45,0.165,12.225
M,0.605,0.475,0.16,1.616
F,0.475,0.375,0.15,0.559
M,0.365,0.285,0.085,0.2205
F,0.46,0.35,0.115,0.44
M,0.53,0.43,0.135,0.879
M,0.48,0.395,0.15,0.6815
M,0.455,0.345,0.15,0.5795
I,0.35,0.265,0.11,0.209
M,0.37,0.28,0.105,0.224
I,0.34,0.25,0.075,0.1765
I,0.35,0.28,0.075,0.196
I,0.35,0.265,0.08,0.192
I,0.39,0.315,0.09,0.3095
I,0.395,0.31,0.095,0.313
I,0.415,0.31,0.105,0.3595
I,0.43,0.32,0.1,0.3855
I,0.48,0.355,0.115,0.5785
M,0.49,0.395,0.12,0.674
F,0.49,0.37,0.105,0.5265
F,0.56,0.465,0.16,10.315
M,0.56,0.45,0.14,0.9
M,0.58,0.46,0.15,10.165
F,0.58,0.48,0.18,12.495
M,0.59,0.47,0.135,11.685
F,0.595,0.475,0.165,1.148
M,0.6,0.475,0.15,1.089
M,0.61,0.47,0.155,10.325
F,0.63,0.475,0.15,1.172
M,0.64,0.51,0.17,13.715
F,0.65,0.545,0.185,15.055
M,0.71,0.55,0.2,19.045
M,0.74,0.605,0.2,24.925
I,0.25,0.18,0.065,0.0805
I,0.28,0.21,0.065,0.111
I,0.325,0.24,0.075,0.152
I,0.35,0.265,0.095,0.199
I,0.36,0.27,0.09,0.219
I,0.365,0.27,0.105,0.2155
I,0.37,0.28,0.09,0.2565
I,0.375,0.285,0.09,0.257
I,0.38,0.275,0.095,0.2505
I,0.395,0.3,0.09,0.279
I,0.43,0.335,0.105,0.378
I,0.44,0.35,0.125,0.456
I,0.465,0.37,0.1,0.5055
F,0.465,0.355,0.115,0.4705
M,0.48,0.37,0.13,0.643
I,0.485,0.37,0.1,0.513
F,0.49,0.4,0.115,0.569
I,0.495,0.4,0.145,0.578
I,0.5,0.385,0.11,0.596
F,0.505,0.39,0.12,0.5725
M,0.52,0.39,0.12,0.6435
M,0.52,0.395,0.125,0.8115
F,0.525,0.44,0.125,0.7115
M,0.55,0.44,0.155,0.9155
F,0.555,0.44,0.145,0.8815
F,0.555,0.42,0.11,0.931
F,0.575,0.46,0.165,1.065
M,0.6,0.475,0.155,11.385
F,0.61,0.48,0.16,1.234
F,0.61,0.495,0.175,12.635
F,0.61,0.47,0.16,10.745
M,0.615,0.505,0.19,1.403
M,0.62,0.485,0.165,11.325
F,0.625,0.495,0.16,11.115
F,0.625,0.47,0.17,1.255
M,0.625,0.485,0.17,1.437
M,0.635,0.495,0.155,13.635
F,0.64,0.48,0.195,11.435
M,0.64,0.5,0.17,14.545
M,0.66,0.525,0.18,1.478
F,0.665,0.52,0.165,16.885
F,0.715,0.585,0.23,20.725
M,0.72,0.565,0.2,1.787
F,0.725,0.58,0.185,1.523
I,0.165,0.12,0.05,0.021
I,0.21,0.15,0.055,0.0455
I,0.355,0.265,0.085,0.2435
I,0.4,0.315,0.085,0.2675
I,0.4,0.29,0.1,0.258
I,0.4,0.3,0.11,0.2985
I,0.435,0.335,0.11,0.411
I,0.44,0.33,0.11,0.38
I,0.45,0.34,0.105,0.4385
I,0.465,0.345,0.105,0.4015
I,0.47,0.355,0.145,0.4485
I,0.47,0.355,0.115,0.4155
I,0.475,0.42,0.16,0.7095
I,0.485,0.37,0.115,0.637
F,0.505,0.475,0.16,11.155
I,0.51,0.405,0.13,0.599
I,0.52,0.38,0.13,0.5345
F,0.53,0.42,0.14,0.627
M,0.535,0.42,0.16,0.7465
M,0.55,0.44,0.16,0.985
M,0.555,0.44,0.145,0.85
M,0.555,0.44,0.15,0.838
F,0.555,0.43,0.135,0.812
M,0.56,0.415,0.13,0.7615
M,0.575,0.44,0.145,0.87
F,0.585,0.45,0.145,0.9835
M,0.59,0.46,0.145,0.929
F,0.595,0.47,0.165,10.155
M,0.6,0.41,0.145,0.939
M,0.6,0.475,0.16,1.164
M,0.61,0.47,0.175,1.214
F,0.615,0.49,0.19,11.345
F,0.62,0.51,0.18,1.233
M,0.625,0.495,0.18,10.815
M,0.625,0.47,0.175,1.179
F,0.64,0.5,0.165,11.635
F,0.64,0.475,0.175,11.545
F,0.645,0.52,0.175,13.345
M,0.65,0.505,0.18,1.469
M,0.655,0.52,0.18,1.492
F,0.655,0.54,0.175,15.585
F,0.66,0.5,0.175,13.275
M,0.67,0.525,0.18,16.615
F,0.69,0.525,0.19,1.492
F,0.7,0.575,0.2,17.365
F,0.7,0.56,0.175,16.605
M,0.71,0.57,0.195,1.348
M,0.715,0.545,0.18,17.405
F,0.72,0.545,0.185,17.185
I,0.215,0.15,0.055,0.041
I,0.24,0.185,0.06,0.0655
I,0.26,0.205,0.07,0.097
I,0.32,0.24,0.085,0.131
I,0.33,0.23,0.085,0.1695
I,0.335,0.26,0.085,0.192
I,0.35,0.26,0.09,0.1765
I,0.35,0.265,0.085,0.1735
I,0.36,0.265,0.075,0.1785
I,0.36,0.265,0.09,0.2055
I,0.365,0.275,0.09,0.2345
I,0.38,0.285,0.09,0.2305
I,0.4,0.31,0.115,0.314
I,0.4,0.315,0.09,0.33
I,0.4,0.265,0.1,0.2775
I,0.425,0.325,0.11,0.405
I,0.43,0.325,0.105,0.309
M,0.435,0.335,0.11,0.4385
I,0.435,0.34,0.12,0.396
I,0.445,0.355,0.095,0.3615
I,0.45,0.35,0.11,0.514
I,0.455,0.435,0.11,0.4265
I,0.46,0.34,0.09,0.384
I,0.475,0.355,0.125,0.4865
I,0.475,0.36,0.135,0.4355
I,0.475,0.35,0.115,0.498
I,0.48,0.355,0.125,0.494
F,0.495,0.37,0.12,0.594
I,0.5,0.365,0.125,0.528
M,0.505,0.39,0.115,0.5585
I,0.515,0.4,0.135,0.636
I,0.525,0.39,0.105,0.567
I,0.53,0.405,0.13,0.6615
I,0.53,0.42,0.13,0.658
M,0.535,0.415,0.135,0.78
I,0.535,0.41,0.13,0.6075
I,0.54,0.41,0.135,0.7025
I,0.55,0.425,0.155,0.8725
F,0.565,0.45,0.175,12.365
M,0.57,0.47,0.155,1.186
I,0.57,0.42,0.13,0.7745
F,0.57,0.42,0.16,0.8875
I,0.575,0.455,0.155,0.8725
I,0.575,0.44,0.125,0.8515
F,0.575,0.475,0.16,0.895
M,0.575,0.45,0.155,0.886
I,0.58,0.46,0.14,0.9265
I,0.58,0.46,0.14,0.8295
I,0.58,0.47,0.15,0.907
M,0.58,0.47,0.165,1.041
F,0.585,0.465,0.165,0.9355
F,0.585,0.46,0.165,1.058
F,0.595,0.465,0.145,0.7955
F,0.6,0.47,0.17,10.805
M,0.6,0.47,0.15,0.928
F,0.6,0.475,0.155,1.059
M,0.6,0.475,0.23,1.157
F,0.6,0.475,0.17,1.088
F,0.6,0.485,0.145,0.776
F,0.62,0.48,0.165,1.043
M,0.625,0.48,0.16,11.415
F,0.625,0.475,0.16,13.335
F,0.625,0.5,0.175,1.273
M,0.625,0.49,0.165,11.835
M,0.625,0.485,0.16,12.135
I,0.63,0.465,0.15,10.315
M,0.635,0.495,0.17,13.695
M,0.65,0.515,0.185,13.745
M,0.65,0.515,0.18,1.463
F,0.65,0.52,0.195,16.275
F,0.65,0.475,0.165,13.875
M,0.655,0.525,0.16,1.46
F,0.655,0.53,0.165,12.835
F,0.66,0.5,0.155,13.765
M,0.66,0.515,0.2,16.465
M,0.675,0.515,0.145,1.265
M,0.685,0.53,0.17,1.56
M,0.715,0.52,0.18,1.6
M,0.735,0.555,0.22,2.333
I,0.175,0.125,0.04,0.028
I,0.37,0.285,0.095,0.226
I,0.395,0.3,0.09,0.2855
I,0.42,0.325,0.11,0.325
I,0.455,0.37,0.11,0.514
I,0.495,0.375,0.115,0.5755
F,0.51,0.375,0.11,0.5805
M,0.515,0.39,0.14,0.678
M,0.545,0.43,0.155,0.8035
F,0.555,0.405,0.12,0.913
M,0.58,0.45,0.16,0.8675
F,0.59,0.465,0.17,10.425
M,0.6,0.46,0.18,1.14
F,0.61,0.49,0.17,13.475
M,0.615,0.475,0.155,10.735
M,0.615,0.475,0.19,14.335
M,0.615,0.495,0.2,1.304
M,0.62,0.46,0.16,0.9505
M,0.63,0.515,0.17,1.385
F,0.64,0.5,0.17,1.12
F,0.64,0.5,0.17,12.645
F,0.655,0.455,0.17,1.275
M,0.655,0.505,0.165,1.27
M,0.66,0.53,0.175,1.583
F,0.665,0.5,0.175,14.355
F,0.67,0.525,0.195,1.42
M,0.69,0.53,0.19,15.955
M,0.715,0.525,0.2,1.89
F,0.735,0.565,0.225,2.037
I,0.27,0.205,0.05,0.084
I,0.285,0.225,0.07,0.1005
I,0.295,0.22,0.085,0.1285
I,0.3,0.225,0.075,0.1345
I,0.3,0.22,0.065,0.1195
I,0.36,0.265,0.085,0.1895
I,0.37,0.275,0.095,0.257
I,0.39,0.29,0.09,0.2745
I,0.435,0.325,0.1,0.342
I,0.44,0.34,0.105,0.344
I,0.44,0.32,0.095,0.3275
I,0.445,0.345,0.12,0.4035
I,0.465,0.37,0.115,0.4075
I,0.465,0.355,0.12,0.4975
I,0.47,0.345,0.12,0.3685
I,0.475,0.365,0.105,0.4175
I,0.475,0.335,0.1,0.4425
I,0.475,0.35,0.125,0.4225
I,0.485,0.365,0.125,0.426
I,0.49,0.39,0.12,0.511
I,0.515,0.405,0.13,0.573
I,0.52,0.415,0.14,0.6385
I,0.525,0.405,0.125,0.657
F,0.525,0.425,0.14,0.8735
I,0.53,0.425,0.13,0.781
I,0.53,0.42,0.14,0.6765
M,0.53,0.41,0.125,0.769
I,0.53,0.395,0.125,0.6235
M,0.535,0.405,0.14,0.7315
I,0.535,0.45,0.155,0.8075
M,0.545,0.41,0.14,0.737
F,0.545,0.41,0.125,0.654
I,0.55,0.415,0.15,0.7915
I,0.55,0.45,0.14,0.753
I,0.55,0.4,0.135,0.717
I,0.555,0.43,0.15,0.783
I,0.575,0.45,0.145,0.872
I,0.575,0.44,0.15,0.983
F,0.585,0.42,0.155,1.034
F,0.585,0.465,0.145,0.9855
I,0.585,0.46,0.14,0.7635
M,0.59,0.465,0.135,0.9895
I,0.595,0.47,0.135,0.9365
F,0.595,0.44,0.135,0.964
F,0.595,0.46,0.155,10.455
F,0.595,0.45,0.165,1.081
M,0.6,0.47,0.16,1.012
F,0.6,0.5,0.16,1.122
M,0.605,0.49,0.165,11.245
F,0.605,0.49,0.15,11.345
M,0.61,0.45,0.19,10.805
F,0.61,0.495,0.165,10.835
M,0.615,0.47,0.175,1.242
M,0.62,0.5,0.18,13.915
M,0.62,0.525,0.155,1.085
I,0.62,0.47,0.155,0.966
M,0.62,0.48,0.165,10.855
F,0.625,0.485,0.135,13.025
I,0.625,0.485,0.16,1.15
I,0.63,0.49,0.17,1.217
F,0.63,0.505,0.195,1.306
M,0.64,0.5,0.175,1.273
M,0.645,0.51,0.19,14.865
M,0.65,0.52,0.17,13.655
M,0.65,0.495,0.17,1.276
M,0.65,0.495,0.16,12.075
F,0.65,0.52,0.195,1.281
M,0.65,0.525,0.205,14.275
M,0.65,0.51,0.175,1.155
F,0.65,0.51,0.175,1.35
M,0.65,0.525,0.19,13.685
F,0.66,0.53,0.17,1.431
M,0.66,0.51,0.18,1.261
F,0.665,0.54,0.195,1.764
F,0.67,0.51,0.155,1.278
M,0.67,0.54,0.195,1.217
F,0.67,0.54,0.2,1.46
F,0.675,0.535,0.185,15.575
M,0.675,0.51,0.17,1.527
F,0.675,0.53,0.195,14.985
M,0.685,0.55,0.19,1.885
M,0.685,0.535,0.175,1.432
M,0.705,0.55,0.21,14.385
F,0.705,0.53,0.17,1.564
M,0.71,0.555,0.175,2.14
F,0.725,0.56,0.185,1.792
M,0.78,0.6,0.21,2.548
I,0.235,0.13,0.075,0.1585
I,0.35,0.25,0.1,0.4015
I,0.36,0.25,0.115,0.465
I,0.38,0.28,0.095,0.2885
F,0.38,0.32,0.115,0.6475
M,0.43,0.31,0.13,0.6485
I,0.465,0.36,0.105,0.452
I,0.47,0.355,0.12,0.4915
F,0.485,0.365,0.15,0.9145
M,0.495,0.375,0.155,0.976
I,0.5,0.395,0.145,0.7865
M,0.505,0.4,0.15,0.775
I,0.51,0.375,0.15,0.8415
M,0.51,0.38,0.135,0.681
M,0.515,0.37,0.115,0.6145
F,0.55,0.415,0.18,11.655
F,0.575,0.42,0.19,1.764
M,0.605,0.455,0.16,11.215
M,0.615,0.505,0.165,1.167
M,0.615,0.475,0.15,10.375
M,0.625,0.48,0.18,1.223
M,0.625,0.47,0.15,1.124
F,0.635,0.505,0.17,12.635
F,0.65,0.525,0.165,1.238
F,0.65,0.5,0.17,14.045
F,0.67,0.525,0.195,1.37
F,0.695,0.525,0.205,18.185
F,0.705,0.555,0.195,17.525
I,0.275,0.205,0.065,0.101
I,0.285,0.205,0.07,0.106
I,0.36,0.265,0.085,0.1865
I,0.385,0.29,0.1,0.2575
I,0.4,0.315,0.1,0.3225
I,0.43,0.33,0.095,0.32
I,0.435,0.375,0.11,0.4155
I,0.45,0.335,0.115,0.3935
I,0.475,0.355,0.135,0.4775
I,0.475,0.36,0.11,0.452
I,0.485,0.37,0.14,0.5065
I,0.51,0.395,0.105,0.5525
I,0.515,0.39,0.12,0.565
I,0.52,0.41,0.14,0.699
I,0.525,0.4,0.14,0.6055
M,0.53,0.425,0.155,0.7905
M,0.53,0.425,0.13,0.702
M,0.53,0.42,0.135,0.675
I,0.53,0.395,0.115,0.475
I,0.53,0.41,0.15,0.612
I,0.535,0.4,0.145,0.705
I,0.535,0.45,0.135,0.728
F,0.555,0.44,0.14,0.846
M,0.555,0.46,0.16,0.86
M,0.56,0.465,0.145,0.8875
F,0.56,0.43,0.145,0.898
I,0.565,0.43,0.125,0.6545
I,0.575,0.45,0.145,0.795
M,0.575,0.465,0.12,10.535
F,0.575,0.46,0.15,0.927
I,0.58,0.42,0.14,0.701
M,0.58,0.45,0.155,0.8275
F,0.585,0.42,0.155,0.9845
M,0.585,0.47,0.145,0.9565
I,0.59,0.45,0.125,0.86
M,0.595,0.48,0.185,11.785
M,0.615,0.48,0.185,12.205
M,0.615,0.455,0.13,0.9685
F,0.62,0.5,0.175,1.107
I,0.62,0.48,0.18,11.305
M,0.62,0.48,0.155,12.555
M,0.625,0.495,0.155,1.177
M,0.625,0.5,0.185,12.425
M,0.63,0.49,0.16,1.09
F,0.63,0.475,0.15,1.072
F,0.645,0.51,0.155,1.129
F,0.65,0.505,0.175,12.075
F,0.65,0.495,0.175,1.227
F,0.655,0.52,0.175,1.472
F,0.665,0.525,0.18,15.785
M,0.67,0.52,0.175,14.755
M,0.675,0.54,0.175,15.545
F,0.675,0.54,0.21,1.593
M,0.695,0.58,0.2,18.995
F,0.695,0.535,0.175,1.361
F,0.705,0.56,0.17,14.575
M,0.74,0.58,0.205,2.381
I,0.205,0.155,0.045,0.0495
I,0.305,0.23,0.075,0.1455
I,0.32,0.23,0.06,0.129
I,0.355,0.27,0.1,0.2255
M,0.425,0.305,0.11,0.359
I,0.425,0.31,0.095,0.3505
F,0.45,0.365,0.115,0.5885
M,0.515,0.385,0.13,0.623
F,0.52,0.375,0.135,0.5375
